                  epoch,         train/box_loss,         train/cls_loss,         train/dfl_loss,   metrics/precision(B),      metrics/recall(B),       metrics/mAP50(B),    metrics/mAP50-95(B),           val/box_loss,           val/cls_loss,           val/dfl_loss,                 lr/pg0,                 lr/pg1,                 lr/pg2
                     59,                0.69287,                0.50216,                0.91298,                0.95974,                 0.9673,                0.98992,                0.85921,                0.53869,                0.41214,                 0.8625,             0.00028225,             0.00028225,             0.00028225
                     60,                0.69376,                0.50009,                0.91292,                0.96148,                0.96761,                0.99048,                0.85673,                0.54363,                0.41152,                0.86388,             0.00026987,             0.00026987,             0.00026987
                     61,                0.69191,                0.49921,                0.91233,                0.96005,                0.96425,                0.99017,                0.85919,                0.53956,                0.40953,                0.86317,              0.0002575,              0.0002575,              0.0002575
                     62,                 0.6886,                0.49549,                0.91178,                0.96263,                0.95981,                0.98993,                 0.8631,                0.53507,                0.40472,                0.86143,             0.00024513,             0.00024513,             0.00024513
                     63,                0.68652,                0.49484,                0.91315,                0.96556,                0.96015,                0.99002,                0.85997,                0.53876,                0.40818,                0.86243,             0.00023275,             0.00023275,             0.00023275
                     64,                0.68749,                0.49555,                0.91015,                0.96841,                0.96081,                0.99014,                0.85999,                0.53646,                0.40684,                0.86224,             0.00022038,             0.00022038,             0.00022038
                     65,                0.68742,                0.49393,                0.91255,                 0.9655,                0.96227,                0.99038,                0.86242,                 0.5378,                0.40596,                0.86186,               0.000208,               0.000208,               0.000208
                     66,                0.68656,                0.49578,                0.91196,                0.96836,                0.96102,                0.99052,                0.86096,                0.53796,                0.40213,                0.86172,             0.00019562,             0.00019562,             0.00019562
                     67,                0.68178,                0.49163,                0.91172,                0.96786,                0.96087,                0.99043,                0.86105,                0.53716,                0.40529,                 0.8621,             0.00018325,             0.00018325,             0.00018325
                     68,                 0.6863,                0.49458,                0.91031,                0.96637,                 0.9571,                0.99035,                0.86369,                0.53326,                  0.407,                0.86095,             0.00017087,             0.00017087,             0.00017087
                     69,                0.68195,                0.48951,                0.90948,                0.96397,                  0.962,                0.99017,                 0.8612,                0.53564,                0.40735,                 0.8613,              0.0001585,              0.0001585,              0.0001585
                     70,                0.67251,                0.47884,                0.91352,                0.96169,                0.97285,                0.99031,                0.85542,                  0.548,                0.41199,                0.86747,             0.00014612,             0.00014612,             0.00014612
                     71,                0.66537,                0.47438,                0.91062,                0.96313,                0.96994,                0.98973,                0.85267,                0.55921,                0.41887,                0.87144,             0.00013375,             0.00013375,             0.00013375
                     72,                0.65835,                0.46882,                0.90657,                0.96177,                0.97041,                0.99048,                 0.8527,                0.55945,                0.41493,                0.87146,             0.00012138,             0.00012138,             0.00012138
                     73,                0.66017,                0.46961,                0.91105,                0.96355,                0.96936,                0.99028,                0.85136,                 0.5596,                0.41959,                0.87164,               0.000109,               0.000109,               0.000109
                     74,                0.65804,                0.46816,                0.90981,                0.96013,                0.97046,                0.99024,                0.84912,                0.56231,                0.41956,                0.87219,             9.6625e-05,             9.6625e-05,             9.6625e-05
                     75,                0.65759,                0.46952,                0.90874,                 0.9627,                0.97103,                0.99041,                0.85124,                0.56011,                0.41894,                0.87166,              8.425e-05,              8.425e-05,              8.425e-05
                     76,                0.65386,                0.46461,                0.90671,                 0.9621,                0.97302,                0.99014,                 0.8525,                0.55914,                0.41776,                0.87155,             7.1875e-05,             7.1875e-05,             7.1875e-05
                     77,                0.65133,                0.46356,                0.90525,                0.96153,                0.96993,                0.99031,                0.85092,                0.55963,                0.41782,                0.87182,               5.95e-05,               5.95e-05,               5.95e-05
                     78,                0.65204,                0.46306,                0.90818,                0.96234,                0.97158,                 0.9905,                0.85103,                0.55967,                0.41633,                0.87156,             4.7125e-05,             4.7125e-05,             4.7125e-05
                     79,                0.64862,                0.46146,                0.90615,                0.96329,                0.97091,                0.99069,                0.85146,                 0.5605,                0.41432,                0.87168,              3.475e-05,              3.475e-05,              3.475e-05
